trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
64,False,"{'a': 0.5, 'e': 0.35999999999999943}",25,7,-30.43528693070112,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 1}",1
65,False,"{'a': 0.5, 'e': 0.3499999999999994}",25,5,-38.61629057979609,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",1
66,False,"{'a': 0.5, 'e': 0.3399999999999994}",30,10,-45.314397430837204,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",1
67,False,"{'a': 0.5, 'e': 0.3299999999999994}",20,9,23.846166499506143,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.5, 'e': 0.3199999999999994}",25,14,14.88841106067292,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.5, 'e': 0.3099999999999994}",20,10,10.105618185567366,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.5, 'e': 0.2999999999999994}",20,6,3.511105378463298,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
71,False,"{'a': 0.5, 'e': 0.28999999999999937}",20,3,30.21991323867199,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.5, 'e': 0.27999999999999936}",20,11,0.8887242792932144,"{0: 7, 1: 2, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.5, 'e': 0.26999999999999935}",20,3,-9.900894939686038,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 0}",1
74,False,"{'a': 0.5, 'e': 0.25999999999999934}",20,6,12.624657589310576,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
75,False,"{'a': 0.5, 'e': 0.24999999999999933}",25,12,-0.5710470020674676,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
76,False,"{'a': 0.5, 'e': 0.23999999999999932}",25,17,-0.5342341874396617,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
77,False,"{'a': 0.5, 'e': 0.22999999999999932}",20,3,-33.109644497854646,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 1}",1
78,False,"{'a': 0.5, 'e': 0.2199999999999993}",25,8,18.96114885476579,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
79,False,"{'a': 0.5, 'e': 0.2099999999999993}",25,2,23.49153154552532,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
80,False,"{'a': 0.5, 'e': 0.1999999999999993}",20,0,-16.562931002656956,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
81,False,"{'a': 0.5, 'e': 0.18999999999999928}",20,16,6.567045256872195,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.5, 'e': 0.17999999999999927}",20,11,17.731720135768008,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.5, 'e': 0.16999999999999926}",20,14,-0.8089023340408241,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
84,False,"{'a': 0.5, 'e': 0.15999999999999925}",30,19,1.0013453571557982,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
85,False,"{'a': 0.5, 'e': 0.14999999999999925}",20,8,20.937685375914604,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.5, 'e': 0.13999999999999924}",20,1,17.56644489757837,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
87,False,"{'a': 0.5, 'e': 0.12999999999999923}",25,17,16.580180737565875,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.5, 'e': 0.11999999999999923}",30,17,24.995707813624676,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.5, 'e': 0.10999999999999924}",25,15,14.626233487117776,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.5, 'e': 0.09999999999999924}",25,0,35.6859694204692,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
91,False,"{'a': 0.5, 'e': 0.08999999999999925}",20,0,14.9380203125493,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
92,False,"{'a': 0.5, 'e': 0.07999999999999925}",20,10,-4.077139596897862,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
93,False,"{'a': 0.5, 'e': 0.06999999999999926}",20,0,25.487445849817124,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
94,False,"{'a': 0.5, 'e': 0.059999999999999255}",25,12,4.308182589593574,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
95,False,"{'a': 0.5, 'e': 0.04999999999999925}",25,13,20.042887884778903,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",25,15,19.372395123776812,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",25,20,10.844997462713167,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",30,17,21.512025906962673,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",35,21,25.28848553356384,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",20,15,11.9649630813595,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",30,8,37.61469716330305,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",25,14,19.732041459272203,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",30,18,25.856249743412768,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",20,5,24.785291016602752,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",25,5,13.6211165767924,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
