trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.3, 'e': 0.1224564282529819}",20,2,20.71308068889474,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
43,False,"{'a': 0.3, 'e': 0.11648415777349697}",20,0,24.55703127462784,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
44,False,"{'a': 0.3, 'e': 0.11080315836233387}",20,0,28.406856516816834,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
45,False,"{'a': 0.3, 'e': 0.10539922456186433}",30,3,16.422873474433352,"{0: 25, 1: 0, 2: 2, 3: 0, 4: 0}",1
46,False,"{'a': 0.3, 'e': 0.1002588437228037}",25,0,-3.693300725702784,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
47,False,"{'a': 0.3, 'e': 0.09536916221554961}",25,9,25.645196947313305,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.3, 'e': 0.09071795328941247}",20,0,-12.183609559798963,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
49,False,"{'a': 0.3, 'e': 0.0862935864993705}",20,6,10.889019545384052,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
50,False,"{'a': 0.3, 'e': 0.0820849986238988}",25,0,-30.630664293198517,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 1}",1
51,False,"{'a': 0.3, 'e': 0.07808166600115313}",25,9,-15.901603635161347,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
52,False,"{'a': 0.3, 'e': 0.07427357821433388}",20,3,24.8271724310484,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
53,False,"{'a': 0.3, 'e': 0.07065121306042957}",20,2,17.246218745926434,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
54,False,"{'a': 0.3, 'e': 0.06720551273974976}",30,0,36.85162588613884,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
55,False,"{'a': 0.3, 'e': 0.06392786120670757}",25,10,-28.882809828646383,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
56,False,"{'a': 0.3, 'e': 0.06081006262521795}",20,9,19.51605097825272,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.3, 'e': 0.057844320874838456}",25,17,-11.620334501394384,"{0: 6, 1: 1, 2: 0, 3: 1, 4: 0}",1
58,False,"{'a': 0.3, 'e': 0.05502322005640721}",20,0,34.165138374588736,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
59,False,"{'a': 0.3, 'e': 0.05233970594843238}",20,7,10.817039510588225,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
60,False,"{'a': 0.3, 'e': 0.049787068367863944}",25,9,23.487216012321195,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 0.3, 'e': 0.04735892439114091}",35,0,31.616435491373775,"{0: 33, 1: 0, 2: 2, 3: 0, 4: 0}",0
62,False,"{'a': 0.3, 'e': 0.0450492023935578}",20,6,27.032308910163664,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.3, 'e': 0.042852126867040166}",25,8,30.031278415007204,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.3, 'e': 0.04076220397836621}",20,3,27.464798028758494,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.3, 'e': 0.03877420783172201}",30,1,42.67478118793876,"{0: 28, 1: 1, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.3, 'e': 0.036883167401239994}",25,7,17.957173724785353,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
67,False,"{'a': 0.3, 'e': 0.035084354100845025}",20,0,29.86767893804775,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.3, 'e': 0.033373269960326066}",30,0,47.43572793882754,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
69,False,"{'a': 0.3, 'e': 0.03174563637806794}",20,1,24.052130228945856,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.3, 'e': 0.0301973834223185}",20,0,29.3464238838471,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
71,False,"{'a': 0.3, 'e': 0.028724639654239423}",20,0,28.009485060914674,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
72,False,"{'a': 0.3, 'e': 0.02732372244729256}",20,10,20.801337382021906,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.3, 'e': 0.025991128778755333}",20,1,18.265388723703378,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
74,False,"{'a': 0.3, 'e': 0.024723526470339388}",30,8,26.152181729435796,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
75,False,"{'a': 0.3, 'e': 0.023517745856009107}",25,16,19.4996073541264,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,False,"{'a': 0.3, 'e': 0.02237077185616559}",25,0,27.028286051001004,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
77,False,"{'a': 0.3, 'e': 0.02127973643837717}",20,11,13.903624348105815,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.3, 'e': 0.02024191144580438}",35,22,23.477587414748168,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.3, 'e': 0.01925470177538692}",20,10,19.18608805344584,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.3, 'e': 0.01831563888873418}",25,14,20.49769002905144,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.3, 'e': 0.017422374639493515}",25,7,23.42094154932695,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.3, 'e': 0.016572675401761237}",25,7,18.15771132751267,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
83,False,"{'a': 0.3, 'e': 0.015764416484854486}",30,14,25.10726196650128,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.3, 'e': 0.014995576820477703}",25,8,7.703448180413127,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
85,False,"{'a': 0.3, 'e': 0.014264233908999256}",20,14,12.800209839162568,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.3, 'e': 0.013568559012200934}",30,9,40.944294911327255,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.3, 'e': 0.012906812580479862}",35,20,23.70136063991948,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.3, 'e': 0.012277339903068436}",25,8,14.716137696058786,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
89,False,"{'a': 0.3, 'e': 0.011678566970395442}",20,9,16.60270805252594,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.3, 'e': 0.011108996538242306}",20,2,33.7643533083296,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.3, 'e': 0.010567204383852655}",30,20,20.317928484674283,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.3, 'e': 0.010051835744633576}",20,1,29.050468028146632,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.3, 'e': 0.009561601930543505}",20,13,12.38604014290968,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.3, 'e': 0.009095277101695816}",25,0,34.80381475369068,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
95,False,"{'a': 0.3, 'e': 0.008651695203120634}",25,7,30.77238120354215,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.3, 'e': 0.008229747049020023}",30,4,41.10554236028104,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.3, 'e': 0.007828377549225767}",25,6,31.30826205315954,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.3, 'e': 0.007446583070924338}",20,10,16.643490539268775,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.3, 'e': 0.0070834089290521185}",20,8,24.45716489090012,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.3, 'e': 0.006737946999085467}",35,16,30.259851725558057,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.3, 'e': 0.006409333446256377}",20,10,18.529014825462973,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.3, 'e': 0.006096746565515633}",25,11,22.686835076349603,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.3, 'e': 0.005799404726842141}",20,0,27.345317165882484,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
104,False,"{'a': 0.3, 'e': 0.0055165644207607716}",20,4,25.239064909663824,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.3, 'e': 0.005247518399181385}",30,13,29.640167313067295,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.3, 'e': 0.004991593906910213}",20,16,4.462382039788242,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.3, 'e': 0.004748150999411473}",30,0,37.87204081287205,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",0
108,False,"{'a': 0.3, 'e': 0.004516580942612666}",20,2,28.569635364954458,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.3, 'e': 0.00429630469075234}",20,11,19.24220383352593,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.3, 'e': 0.004086771438464067}",25,0,33.31306911572384,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
111,False,"{'a': 0.3, 'e': 0.003887457243476127}",25,1,36.48732898276406,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
